holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,Vehicles,hour,weekday,is_weekend,signal_strategy,congestion
,282.81,0.0,0.0,75,Clouds,broken clouds,2015-11-01 00:00:00,1825,30,0,6,True,Normal Operation,0
,281.44,0.0,0.0,1,Clear,sky is clear,2015-11-01 01:00:00,779,26,1,6,True,Normal Operation,0
,281.15,0.0,0.0,90,Clouds,overcast clouds,2015-11-01 03:00:00,314,14,3,6,True,Normal Operation,0
,280.28,0.0,0.0,75,Clouds,broken clouds,2015-11-01 05:00:00,447,10,5,6,True,Normal Operation,0
,279.02,0.0,0.0,90,Clouds,overcast clouds,2015-11-01 07:00:00,1266,16,7,6,True,Normal Operation,0
,279.5,0.0,0.0,40,Clouds,scattered clouds,2015-11-01 09:00:00,2890,21,9,6,True,Normal Operation,0
,283.49,0.0,0.0,1,Clear,sky is clear,2015-11-01 11:00:00,3790,28,11,6,True,Maintain Balanced Signal,0
,284.68,0.0,0.0,1,Clear,sky is clear,2015-11-01 13:00:00,4046,30,13,6,True,Maintain Balanced Signal,1
,285.65,0.0,0.0,1,Clear,sky is clear,2015-11-01 15:00:00,4365,21,15,6,True,Maintain Balanced Signal,1
,285.22,0.0,0.0,1,Clear,sky is clear,2015-11-01 17:00:00,4628,27,17,6,True,Maintain Balanced Signal,1
,283.77,0.0,0.0,1,Clear,sky is clear,2015-11-01 19:00:00,3017,32,19,6,True,Normal Operation,0
,283.15,0.0,0.0,75,Clouds,broken clouds,2015-11-01 21:00:00,1733,32,21,6,True,Normal Operation,0
,282.23,0.0,0.0,1,Clear,sky is clear,2015-11-01 23:00:00,878,24,23,6,True,Normal Operation,0
,280.59,0.0,0.0,1,Clear,sky is clear,2015-11-02 00:00:00,432,27,0,0,False,Normal Operation,0
,280.37,0.0,0.0,40,Clouds,scattered clouds,2015-11-02 01:00:00,288,21,1,0,False,Normal Operation,0
,280.29,0.0,0.0,1,Clear,sky is clear,2015-11-02 04:00:00,900,18,4,0,False,Normal Operation,0
,280.01,0.0,0.0,1,Clear,sky is clear,2015-11-02 06:00:00,6177,23,6,0,False,Extend Green Time,1
,280.15,0.0,0.0,75,Mist,mist,2015-11-02 07:00:00,6532,21,7,0,False,Extend Green Time,1
,285.36,0.0,0.0,75,Clouds,broken clouds,2015-11-02 10:00:00,4477,50,10,0,False,Normal Operation,1
,289.58,0.0,0.0,1,Clear,sky is clear,2015-11-02 12:00:00,4657,57,12,0,False,Extend Green Time,1
,292.8,0.0,0.0,1,Clear,sky is clear,2015-11-02 13:00:00,4690,41,13,0,False,Normal Operation,1
,293.29,0.0,0.0,1,Clear,sky is clear,2015-11-02 15:00:00,5717,47,15,0,False,Extend Green Time,1
,291.0,0.0,0.0,20,Haze,haze,2015-11-02 17:00:00,6198,39,17,0,False,Extend Green Time,1
,285.17,0.0,0.0,1,Clear,sky is clear,2015-11-02 19:00:00,2915,43,19,0,False,Normal Operation,0
,282.51,0.0,0.0,1,Clear,sky is clear,2015-11-02 21:00:00,2108,58,21,0,False,Extend Green Time,0
,280.86,0.0,0.0,1,Clear,sky is clear,2015-11-02 23:00:00,972,48,23,0,False,Normal Operation,0
,280.15,0.0,0.0,1,Clear,sky is clear,2015-11-03 00:00:00,486,39,0,1,False,Normal Operation,0
,279.87,0.0,0.0,1,Mist,mist,2015-11-03 01:00:00,302,30,1,1,False,Normal Operation,0
,279.79,0.0,0.0,90,Mist,mist,2015-11-03 02:00:00,229,34,2,1,False,Normal Operation,0
,279.73,0.0,0.0,1,Mist,mist,2015-11-03 04:00:00,891,25,4,1,False,Normal Operation,0
,279.08,0.0,0.0,1,Mist,mist,2015-11-03 06:00:00,6110,18,6,1,False,Extend Green Time,1
,279.08,0.0,0.0,1,Fog,fog,2015-11-03 06:00:00,6110,18,6,1,False,Extend Green Time,1
,280.43,0.0,0.0,1,Mist,mist,2015-11-03 08:00:00,5719,27,8,1,False,Extend Green Time,1
,280.43,0.0,0.0,1,Fog,fog,2015-11-03 08:00:00,5719,27,8,1,False,Extend Green Time,1
,285.64,0.0,0.0,40,Fog,fog,2015-11-03 10:00:00,4389,54,10,1,False,Extend Green Time,1
,290.15,0.0,0.0,1,Clear,sky is clear,2015-11-03 12:00:00,5042,51,12,1,False,Extend Green Time,1
,293.55,0.0,0.0,1,Clear,sky is clear,2015-11-03 14:00:00,5646,45,14,1,False,Extend Green Time,1
,294.15,0.0,0.0,5,Clear,sky is clear,2015-11-03 16:00:00,6548,41,16,1,False,Extend Green Time,1
,290.62,0.0,0.0,5,Clear,sky is clear,2015-11-03 18:00:00,4446,38,18,1,False,Normal Operation,1
,289.44,0.0,0.0,1,Clear,sky is clear,2015-11-03 20:00:00,2640,44,20,1,False,Normal Operation,0
,288.29,0.0,0.0,1,Clear,sky is clear,2015-11-03 22:00:00,1584,47,22,1,False,Normal Operation,0
,287.14,0.0,0.0,1,Haze,haze,2015-11-03 23:00:00,994,34,23,1,False,Normal Operation,0
,287.15,0.0,0.0,1,Mist,mist,2015-11-04 01:00:00,336,32,1,2,False,Normal Operation,0
,286.87,0.0,0.0,1,Mist,mist,2015-11-04 03:00:00,367,26,3,2,False,Normal Operation,0
,286.01,0.0,0.0,1,Mist,mist,2015-11-04 05:00:00,3025,24,5,2,False,Normal Operation,0
,285.22,0.0,0.0,1,Mist,mist,2015-11-04 07:00:00,6469,20,7,2,False,Extend Green Time,1
,286.23,0.0,0.0,75,Mist,mist,2015-11-04 08:00:00,6098,27,8,2,False,Extend Green Time,1
,288.29,0.0,0.0,90,Mist,mist,2015-11-04 11:00:00,4852,38,11,2,False,Normal Operation,1
,288.44,0.0,0.0,90,Haze,haze,2015-11-04 12:00:00,5028,48,12,2,False,Extend Green Time,1
